id,name,name_en,name_kana,lat,lon,place_type,is_in,old_name,all_tags
8726981541,"上の原二丁目","Uenohara 2-chome","うえのはら2ちょうめ",35.7722791,139.5451767,neighbourhood,"","","{""name"":""上の原二丁目"",""name:en"":""Uenohara 2-chome"",""name:ja"":""上の原二丁目"",""name:ja-Hira"":""うえのはら2ちょうめ"",""place"":""neighbourhood""}"
8726981542,"柳窪三丁目","Yanagikubo 3-chome","やなぎくぼ3ちょうめ",35.7440467,139.4912371,neighbourhood,"","","{""name"":""柳窪三丁目"",""name:en"":""Yanagikubo 3-chome"",""name:ja"":""柳窪三丁目"",""name:ja-Hira"":""やなぎくぼ3ちょうめ"",""place"":""neighbourhood""}"
8726981543,"柳窪五丁目","Yanagikubo 5-chome","やなぎくぼ5ちょうめ",35.749798,139.492197,neighbourhood,"","","{""name"":""柳窪五丁目"",""name:en"":""Yanagikubo 5-chome"",""name:ja"":""柳窪五丁目"",""name:ja-Hira"":""やなぎくぼ5ちょうめ"",""place"":""neighbourhood""}"
8726981544,"柳窪四丁目","Yanagikubo 4-chome","やなぎくぼ4ちょうめ",35.748104,139.488676,neighbourhood,"","","{""name"":""柳窪四丁目"",""name:en"":""Yanagikubo 4-chome"",""name:ja"":""柳窪四丁目"",""name:ja-Hira"":""やなぎくぼ4ちょうめ"",""place"":""neighbourhood""}"
8726981545,"滝山四丁目","Takiyama 4-chome","たきやま4ちょうめ",35.743474,139.504299,neighbourhood,"","","{""name"":""滝山四丁目"",""name:en"":""Takiyama 4-chome"",""name:ja"":""滝山四丁目"",""name:ja-Hira"":""たきやま4ちょうめ"",""place"":""neighbourhood""}"
8726981546,"滝山三丁目","Takiyama 3-chome","たきやま3ちょうめ",35.742461,139.507275,neighbourhood,"","","{""name"":""滝山三丁目"",""name:en"":""Takiyama 3-chome"",""name:ja"":""滝山三丁目"",""name:ja-Hira"":""たきやま3ちょうめ"",""place"":""neighbourhood""}"
8726981547,"弥生一丁目","Yayoi 1-chome","やよい1ちょうめ",35.738211,139.50538,neighbourhood,"","","{""name"":""弥生一丁目"",""name:en"":""Yayoi 1-chome"",""name:ja"":""弥生一丁目"",""name:ja-Hira"":""やよい1ちょうめ"",""place"":""neighbourhood""}"
8726981548,"滝山五丁目","Takiyama 5-chome","たきやま5ちょうめ",35.745938,139.500997,neighbourhood,"","","{""name"":""滝山五丁目"",""name:en"":""Takiyama 5-chome"",""name:ja"":""滝山五丁目"",""name:ja-Hira"":""たきやま5ちょうめ"",""place"":""neighbourhood""}"
8726981549,"滝山六丁目","Takiyama 6-chome","たきやま6ちょうめ",35.747731,139.503683,neighbourhood,"","","{""name"":""滝山六丁目"",""name:en"":""Takiyama 6-chome"",""name:ja"":""滝山六丁目"",""name:ja-Hira"":""たきやま6ちょうめ"",""place"":""neighbourhood""}"
8726981550,"滝山七丁目","Takiyama 7-chome","たきやま7ちょうめ",35.749948,139.505144,neighbourhood,"","","{""name"":""滝山七丁目"",""name:en"":""Takiyama 7-chome"",""name:ja"":""滝山七丁目"",""name:ja-Hira"":""たきやま7ちょうめ"",""place"":""neighbourhood""}"
